mbl_neel,mbl_ground,mbl_random,prethermal_ground,prethermal_random,prethermal_neel
1,1,1,1,1,1
-0.963917551,-0.962470902,-0.966838161,-0.952682204,-0.965139453,-0.969841224
0.920282929,0.933599404,0.928270093,0.902539357,0.912945104,0.92401568
-0.877483603,-0.885666575,-0.888768288,-0.835675608,-0.850587252,-0.876203801
0.824212621,0.84814754,0.842498143,0.769112485,0.778108113,0.811084524
-0.786659432,-0.804036491,-0.807018191,-0.704068293,-0.702188035,-0.764731535
0.742363851,0.770121129,0.766004246,0.645732772,0.625065911,0.701348634
-0.706662426,-0.729847434,-0.733099919,-0.596981596,-0.554764976,-0.668884464
0.666224128,0.698436139,0.693995425,0.560538085,0.488448053,0.624764072
-0.63988493,-0.667405163,-0.668790203,-0.525608348,-0.435172559,-0.607323975
0.609262997,0.642440566,0.637652388,0.505208014,0.38328423,0.577541937
-0.588130334,-0.617634715,-0.618108608,-0.478698671,-0.346771153,-0.56495033
0.564261258,0.597666979,0.594268683,0.467050599,0.31095157,0.547134019
-0.547844558,-0.577751829,-0.576995356,-0.44014497,-0.2878507,-0.533013317
0.527910868,0.564222447,0.557171237,0.431821362,0.264000731,0.51277545
-0.515009463,-0.548157891,-0.542792766,-0.403848993,-0.247105413,-0.498730654
0.498678946,0.534748565,0.526728782,0.394041702,0.228596325,0.475810247
-0.489609777,-0.522437584,-0.516065309,-0.367549316,-0.214700121,-0.461719851
0.474402177,0.510165156,0.502072882,0.358735345,0.200834137,0.438025416
-0.468375729,-0.498142342,-0.493680044,-0.333421357,-0.188205274,-0.424461858
0.45489291,0.487817134,0.482386116,0.325524868,0.176178567,0.404004387
-0.447869006,-0.477456984,-0.472854642,-0.303626,-0.167193083,-0.391539986
0.436661506,0.467190399,0.462359173,0.296644607,0.156881625,0.372160319
-0.430784236,-0.460257592,-0.453552398,-0.279926747,-0.152521339,-0.363533651
0.41828396,0.448682177,0.442929042,0.273044097,0.143682019,0.346340839
-0.413625882,-0.439825748,-0.435593796,-0.255287876,-0.142064802,-0.336786002
0.404088219,0.432978148,0.427826871,0.252600656,0.135965128,0.323722102
-0.398998663,-0.425611608,-0.419448226,-0.236509382,-0.135313573,-0.315631777
0.389698003,0.417239454,0.411664179,0.235702989,0.130598604,0.304292175
-0.383826764,-0.411122109,-0.403724857,-0.219915739,-0.130493531,-0.296201702
0.375036805,0.403563205,0.394520157,0.21911992,0.126196247,0.284627728
-0.369998009,-0.39735873,-0.385931016,-0.2035622,-0.124402075,-0.275363313
0.363569811,0.390940516,0.380885353,0.205308618,0.120919618,0.268337172
-0.357623453,-0.382730038,-0.372842182,-0.1897676,-0.117255846,-0.256424343
0.34899645,0.375308885,0.36601478,0.188863067,0.112540703,0.24578123
-0.344724052,-0.3688147,-0.360267336,-0.175961584,-0.110405965,-0.23925132
0.337308285,0.361951059,0.352705897,0.176020534,0.105741779,0.228915341
-0.331370386,-0.355227024,-0.347074315,-0.162628897,-0.102289755,-0.222713564
0.323083702,0.347399141,0.339038859,0.163495514,0.097797008,0.213582705
-0.317675333,-0.340246528,-0.333684235,-0.151549969,-0.095266109,-0.207592021
0.310021738,0.333845023,0.328005398,0.153095756,0.093095982,0.202049529
-0.302835107,-0.325588109,-0.320141106,-0.140452547,-0.088764189,-0.194919328
0.296213954,0.320076655,0.312909305,0.141742019,0.086364543,0.187371456
-0.290940868,-0.312660658,-0.306247446,-0.129379063,-0.082780585,-0.183151194
0.283111776,0.306396332,0.298605426,0.132450472,0.081477442,0.176806925
-0.276978441,-0.299207676,-0.29320625,-0.120523516,-0.077846371,-0.173450778
0.272466265,0.292408786,0.286678854,0.124286824,0.077344639,0.16534754
-0.266812814,-0.286344459,-0.280615526,-0.111878701,-0.07340667,-0.160786676
0.26032898,0.281021774,0.27528264,0.114449515,0.071273489,0.15402359
-0.256043612,-0.274532765,-0.269819128,-0.103501913,-0.069340488,-0.15016027
0.249059979,0.268543502,0.264426737,0.106582684,0.068182751,0.143564968
-0.245829563,-0.26270906,-0.257577458,-0.098685412,-0.067719337,-0.140566259
0.240493988,0.256541086,0.252665473,0.100293137,0.065905986,0.135558371
-0.235302537,-0.250870849,-0.248383293,-0.093012845,-0.063017696,-0.132607936
0.229253858,0.246040012,0.243290161,0.094008739,0.061369685,0.127324925
-0.226065173,-0.241420071,-0.239714705,-0.08681063,-0.059469307,-0.125129026
0.22063341,0.235090107,0.234606753,0.089037235,0.058328504,0.119162597
-0.216686604,-0.231079708,-0.231586269,-0.081775677,-0.05520124,-0.117151779
0.21124058,0.226678842,0.228026689,0.082064236,0.055449217,0.111856107
-0.208098795,-0.221484954,-0.223188931,-0.076570211,-0.053235107,-0.110007924
0.203059458,0.217290569,0.219697959,0.078538923,0.053685245,0.106055225
