mbl_trace_2,mbl_trace_2a,mbl_trace_3,mbl_trace_3a,mbl_trace_4,mbl_trace_4a,mbl_trace_5,mbl_trace_5a,prethermal_trace_2,prethermal_trace_2a,prethermal_trace_3,prethermal_trace_3a,prethermal_trace_4,prethermal_trace_4a,prethermal_trace_5,prethermal_trace_5a
-0.421541606,-0.417193629,-0.55711415,-0.47813469,-0.695339334,-0.430162607,-0.636206239,0.429233414,-0.331830404,-0.166674,-0.269191352,0.205441037,-0.375800324,0.287974259,-0.556320174,0.508626286
0.419950883,0.412262388,0.546365466,0.464633928,0.660314992,0.375344204,0.613007322,-0.432013008,0.285046555,0.157306764,0.299043106,-0.175326503,0.355060675,-0.272260801,0.569396655,-0.489744064
-0.378114867,-0.377425553,-0.539770863,-0.441682632,-0.663233687,-0.401506327,-0.617337074,0.422177523,-0.305717271,-0.140979515,-0.238130811,0.192091837,-0.358288018,0.278715487,-0.541670174,0.485240546
0.384636831,0.377955794,0.515002156,0.418575558,0.64582765,0.354011196,0.587349534,-0.416618335,0.302315761,0.127582798,0.286955248,-0.194824744,0.329771001,-0.247182756,0.555397766,-0.463157028
-0.332832284,-0.34842137,-0.504980437,-0.413227179,-0.661641671,-0.383888021,-0.586761543,0.396893911,-0.304304336,-0.092050099,-0.275077613,0.200343114,-0.340775713,0.252685112,-0.515137397,0.476613324
0.352345153,0.351284671,0.497295387,0.375892379,0.623857835,0.340797466,0.549450843,-0.383263211,0.269294947,0.100789364,0.273606048,-0.186626023,0.305063307,-0.238823407,0.537437952,-0.450351843
-0.348633466,-0.356003816,-0.481925289,-0.348319668,-0.64657059,-0.400604185,-0.58269906,0.409562444,-0.275836312,-0.090113855,-0.248641992,0.184208451,-0.313105212,0.237923984,-0.513021286,0.467226472
0.359079214,0.357382443,0.41841978,0.317891027,0.592813531,0.362873416,0.557896531,-0.412555852,0.253177021,0.09037551,0.244122184,-0.169860689,0.277234084,-0.217184335,0.529299063,-0.431957954
-0.345770165,-0.349853021,-0.425741347,-0.326354966,-0.615314018,-0.405804769,-0.559713958,0.402292737,-0.260294027,-0.069129154,-0.234346786,0.159717399,-0.274377091,0.199090049,-0.487519435,0.445848324
0.347201815,0.350542334,0.423560455,0.311504128,0.584428916,0.372531644,0.520318562,-0.388234407,0.211573935,0.063582075,0.215058768,-0.146420755,0.242632731,-0.180889949,0.515517212,-0.418555917
-0.332249019,-0.33898308,-0.429116538,-0.335597796,-0.602630961,-0.394766794,-0.523365425,0.369525603,-0.239623311,-0.081950231,-0.183315001,0.141270276,-0.261890976,0.1783504,-0.490286657,0.453390361
0.319841379,0.326628464,0.413019475,0.321629699,0.568296492,0.394236122,0.50406863,-0.360812646,0.192787132,0.083991137,0.176377621,-0.124767721,0.221998896,-0.184805087,0.499890545,-0.430492954
-0.300381534,-0.303881125,-0.40995584,-0.331184085,-0.595042353,-0.40145326,-0.522029082,0.354398199,-0.211573935,-0.068239528,-0.12902475,0.140008934,-0.225861127,0.168932907,-0.468257398,0.439445732
0.300381534,0.288557159,0.402686199,0.313061908,0.558372928,0.385851507,0.486375447,-0.345899057,0.175779581,0.070175772,0.158561169,-0.108317723,0.202793558,-0.162848571,0.484806472,-0.412370362
-0.261143699,-0.261037651,-0.403932423,-0.323810592,-0.572488799,-0.406335441,-0.500968314,0.325586641,-0.203724296,-0.07007111,-0.137276027,0.117672674,-0.220041327,0.152320024,-0.460715361,0.424632954
0.268461025,0.252129602,0.381188831,0.324174074,0.530088118,0.382985879,0.477983212,-0.324891743,0.153591269,0.076193829,0.140902385,-0.076363732,0.190730701,-0.160943909,0.466412583,-0.402657955
-0.221110503,-0.234578624,-0.392924109,-0.33788254,-0.56134469,-0.385745373,-0.483863122,0.296988898,-0.182425609,-0.064838018,-0.11888146,0.090711494,-0.206179623,0.135283884,-0.448615546,0.406401844
0.228905045,0.233412094,0.393027962,0.327705042,0.51703359,0.348704477,0.449332015,-0.283037476,0.150242089,0.062430795,0.12413705,-0.064223317,0.16750441,-0.134119924,0.448724065,-0.382907585
-0.221057478,-0.222277033,-0.388406547,-0.310984867,-0.547069617,-0.344989774,-0.451470164,0.268498062,-0.164633094,-0.068762837,-0.091552389,0.079622198,-0.188773132,0.127876867,-0.433857028,0.3862174
0.237972167,0.236487492,0.390691291,0.305636488,0.521968838,0.337772637,0.457350074,-0.28453418,0.122820684,0.053482207,0.138222033,-0.023650158,0.164435789,-0.147346741,0.448615546,-0.380899992
-0.218353249,-0.225034286,-0.383525502,-0.295562843,-0.551633395,-0.339629988,-0.469270255,0.26272506,-0.13108897,-0.076717138,-0.053081465,0.07715207,-0.182053909,0.126183834,-0.428159806,0.403471844
0.234472576,0.237123781,0.378852161,0.276246367,0.512735148,0.308851021,0.443345198,-0.286351607,0.102568616,0.048196783,0.147734652,0.000578115,0.150309548,-0.130998395,0.437004065,-0.372435548
-0.21771696,-0.229117142,-0.352473749,-0.255320186,-0.531043327,-0.324665042,-0.454517027,0.254867362,-0.112040513,-0.072687657,-0.055236257,0.077467406,-0.170149774,0.106819774,-0.399076844,0.382093696
0.226571985,0.226571985,0.336117056,0.240469347,0.490234661,0.281362219,0.421642985,-0.268498062,0.083415497,0.048824754,0.163869316,0.022756707,0.147399648,-0.097825538,0.406510362,-0.357948326
-0.220580262,-0.222489129,-0.335130462,-0.245817726,-0.521968838,-0.3101777,-0.430730119,0.23589129,-0.10565614,-0.079176691,-0.053764692,0.051294564,-0.164065438,0.097455188,-0.397394807,0.385729066
0.215967165,0.216603454,0.330457121,0.232524668,0.484768741,0.261302822,0.402078922,-0.258395308,0.077711426,0.062064479,0.14353018,0.029168528,0.142056014,-0.095815062,0.418013325,-0.360335733
-0.190621644,-0.189083945,-0.322356663,-0.219023906,-0.514114895,-0.29547809,-0.421696439,0.23546366,-0.110208931,-0.077031123,-0.077046958,0.020707027,-0.163007293,0.066398621,-0.394464807,0.36060703
0.188659753,0.176570257,0.322408589,0.22390495,0.466460562,0.252705938,0.400368403,-0.261816347,0.078234735,0.053482207,0.129865644,0.032689774,0.136077493,-0.06486431,0.407324251,-0.331035734
-0.165700317,-0.178001908,-0.319085325,-0.213363971,-0.500052091,-0.285925996,-0.417099419,0.232897881,-0.092782732,-0.073838937,-0.054710698,0.007725718,-0.154277593,0.040103709,-0.378024252,0.341941845
0.173600908,0.17466139,0.31602169,0.210404188,0.462905061,0.249628041,0.379414542,-0.234501493,0.073367959,0.057564019,0.121404143,0.046301753,0.126395463,-0.047669448,0.386054622,-0.319858327
-0.151754978,-0.159867665,-0.304234486,-0.20869063,-0.486466891,-0.281362219,-0.389089667,0.20590375,-0.084462115,-0.073629613,-0.042675396,0.006727156,-0.145018821,0.027194336,-0.348290178,0.338306475
