g,s_8,s_12,s_16,s_20,err_8,err_12,err_16,err_20
0.72,0.000683341,0.000622392,0.000651588,0.00074143,5.94E-06,5.11E-06,3.25E-06,3.09E-06
0.74,0.001012926,0.000898238,0.000853323,0.000928487,1.12E-05,1.00E-05,7.12E-06,5.80E-06
0.76,0.001584183,0.001290715,0.001158364,0.001225889,1.77E-05,1.66E-05,1.26E-05,1.13E-05
0.78,0.002342967,0.00193573,0.001680789,0.001672808,2.60E-05,2.59E-05,1.98E-05,1.68E-05
0.8,0.003495793,0.002927767,0.00245031,0.00243401,4.10E-05,4.05E-05,2.82E-05,2.59E-05
0.82,0.004905458,0.004283109,0.003691972,0.003717447,4.92E-05,5.48E-05,3.88E-05,3.66E-05
0.84,0.007265783,0.006466799,0.005791956,0.005947941,7.43E-05,8.11E-05,6.31E-05,6.54E-05
0.86,0.009742132,0.009569412,0.008836983,0.009273707,9.10E-05,0.000107505,9.24E-05,8.76E-05
0.88,0.014316772,0.015191546,0.015348316,0.016588344,0.000127655,0.000166724,0.000167993,0.000159325
0.9,0.021101785,0.023904581,0.026118655,0.030155495,0.000178495,0.000269603,0.000277315,0.000303001
